"female","country","sex","UHE_ADL","UHE_CHR","UHE_GALI","UHE_SR","ex","HE_ADL","HE_CHR","HE_GALI","HE_SR"
1,"EST","female",5.17436959324947,26.9020097563692,9.4838574344314,23.5579592214354,33.5549422553903,28.3805726621409,6.65293249902109,24.0710848209589,9.99698303395494
0,"FIN","male",2.61646297772066,26.3001126571044,3.95419688477019,12.9812667789804,30.6634598363047,28.0469968585841,4.36334717920035,26.7092629515346,17.6821930573244
1,"FIN","female",3.69515858462684,30.2231271545823,4.41611940567229,14.4683146444484,35.3041539832258,31.6089953985989,5.08102682864345,30.8880345775535,20.8358393387774
0,"FRATNP","male",3.89416838239068,24.4091319790229,5.29375104499618,11.8451575377951,31.4307276591123,27.5365592767216,7.02159568008938,26.1369766141161,19.5855701213171
1,"FRATNP","female",5.31030991281582,29.9051298025512,6.41127123472844,14.4889177979094,36.5533976509254,31.2430877381095,6.64826784837412,30.1421264161969,22.064479853016
0,"GRC","male",1.67171994261092,21.4064753338808,1.68631386240049,8.16468883045368,30.6877451772757,29.0160252346648,9.28126984339488,29.0014313148752,22.523056346822
1,"GRC","female",3.10231080810676,26.6398988393609,2.94800905060649,12.3747600774229,34.9404824692889,31.8381716611821,8.30058362992796,31.9924734186824,22.565722391866
0,"HUN","male",1.90290547525811,15.8550291709447,3.58405339814989,10.8696179791103,24.6976802720223,22.7947747967642,8.84265110107756,21.1136268738724,13.828062292912
1,"HUN","female",3.12377323464319,24.5784122720019,6.43935209457596,18.2982135838825,30.6415245904569,27.5177513558137,6.06311231845498,24.2021724958809,12.3433110065744
0,"ISR","male",0.00015172815317594,0.382344815852967,0.000351184515128459,0.125013710247587,1,0.999848271846824,0.617655184147033,0.999648815484872,0.874986289752413
1,"ISR","female",0.0329686525510056,0.431389842061025,0.0175748172546795,0.284131851574552,1,0.967031347448995,0.568610157938975,0.982425182745321,0.715868148425448
0,"ITA","male",2.80157380509004,22.1260174660098,4.400898193579,12.2946347829001,32.0368429877027,29.2352691826127,9.91082552169299,27.6359447941238,19.7422082048027
1,"ITA","female",5.50282020829143,26.4103324159467,6.45434585937998,17.5894464858191,35.9144692790979,30.4116490708065,9.50413686315123,29.4601234197179,18.3250227932788
0,"LTU","male",2.90181514958216,19.4470391661919,4.00042666134754,13.4540540280132,24.4467929571159,21.5449778075337,4.99975379092397,20.4463662957684,10.9927389291027
1,"LTU","female",5.47400167190714,28.0467036959257,5.39147662911892,20.6250999765803,32.1565226166569,26.6825209447497,4.10981892073118,26.7650459875379,11.5314226400766
0,"LUX","male",3.44187170155278,25.447678359605,6.59509713648985,11.6656634275844,31.2106229244166,27.7687512228639,5.76294456481162,24.6155257879268,19.5449594968322
1,"LUX","female",3.69452250186788,29.1667932526044,7.44540092034557,15.0871408401262,35.3361597947853,31.6416372929174,6.16936654218094,27.8907588744397,20.2490189546591
0,"LVA","male",1.86316246548353,17.5285976031105,2.98767117440014,13.9337629158382,24.031988957838,22.1688264923545,6.50339135472757,21.0443177834379,10.0982260419998
1,"LVA","female",4.19386028592262,26.0090307420822,4.53409917630077,21.6266777175965,31.5457944820959,27.3519341961733,5.53676374001365,27.0116953057951,9.91911676449944
0,"POL","male",3.66865853751927,21.2068627412761,6.00717011462515,13.1625994029563,26.5969497334799,22.9282911959607,5.39008699220381,20.5897796188548,13.4343503305236
1,"POL","female",5.50838305370799,28.1750091154772,8.28280490406731,17.7340774410273,32.818597447653,27.310214393945,4.64358833217581,24.5357925435857,15.0845200066257
0,"SVK","male",1.40031044265507,13.6699282590256,1.91242324808616,6.22292336247936,26.2500629524529,24.8497525097979,12.5801346934273,24.3376397043668,20.0271395899736
1,"SVK","female",3.25365273575058,21.4921049338418,4.49311053472361,11.1745585090242,31.8759124143535,28.6222596786029,10.3838074805117,27.3828018796299,20.7013539053293
0,"SVN","male",3.25624941112131,22.1962832399365,6.09144052917428,11.5670442861903,29.55264634041,26.2963969292887,7.35636310047346,23.4612058112357,17.9856020542196
1,"SVN","female",3.75635450415072,26.9812943588856,7.55057723595253,14.2684152611555,34.5616590718467,30.805304567696,7.58036471296114,27.0110818358942,20.2932438106912
0,"SWE","male",2.74094039691551,22.368732143215,4.3022824941997,8.37652019654455,32.2365487755347,29.4956083786192,9.86781663231966,27.934266281335,23.8600285789901
1,"SWE","female",3.365554705317,25.3854142884105,6.1261263367061,11.0034740752294,35.0797646214371,31.7142099161201,9.69435033302665,28.953638284731,24.0762905462077
0,"PRT","male",4.59249570649688,21.8762247995912,4.43590520680325,13.9019857498191,30.2959463206869,25.70345061419,8.41972152109567,25.8600411138836,16.3939605708678
1,"PRT","female",8.38506366001846,29.9600547986715,7.10514417242509,21.7773438538546,35.4914457157682,27.1063820557497,5.53139091709664,28.3863015433431,13.7141018619135
