"no","Agex","Agex_h","p11","p12","p13","p21","p22","p23","name"
"1","82","83","0.78431","0.20227","0.01342","0.10153","0.82191","0.07656","ATFsr"
"1","83","84","0.77404","0.21080","0.01516","0.09811","0.81729","0.08460","ATFsr"
"1","84","85","0.76336","0.21951","0.01713","0.09472","0.81187","0.09341","ATFsr"
"1","85","86","0.75226","0.22839","0.01935","0.09135","0.80560","0.10306","ATFsr"
"1","86","87","0.74075","0.23741","0.02185","0.08800","0.79840","0.11360","ATFsr"
"1","87","88","0.72880","0.24655","0.02466","0.08467","0.79023","0.12510","ATFsr"
"1","88","89","0.71641","0.25578","0.02781","0.08137","0.78101","0.13762","ATFsr"
"1","89","90","0.70359","0.26506","0.03135","0.07808","0.77070","0.15122","ATFsr"
"1","90","91","0.69033","0.27436","0.03531","0.07481","0.75923","0.16596","ATFsr"
"1","50","51","0.99047","0.00732","0.00220","0.50016","0.48260","0.01724","ATMadl"
"1","51","52","0.98964","0.00794","0.00242","0.48462","0.49644","0.01894","ATMadl"
"1","52","53","0.98874","0.00860","0.00265","0.46916","0.51004","0.02080","ATMadl"
"1","53","54","0.98777","0.00932","0.00291","0.45382","0.52337","0.02281","ATMadl"
"1","54","55","0.98671","0.01010","0.00319","0.43860","0.53639","0.02501","ATMadl"
"1","55","56","0.98556","0.01094","0.00350","0.42353","0.54908","0.02739","ATMadl"
"1","56","57","0.98432","0.01184","0.00384","0.40864","0.56139","0.02997","ATMadl"
"1","57","58","0.98297","0.01281","0.00422","0.39393","0.57330","0.03278","ATMadl"
"1","58","59","0.98151","0.01386","0.00463","0.37943","0.58476","0.03581","ATMadl"
"1","59","60","0.97993","0.01499","0.00508","0.36515","0.59576","0.03910","ATMadl"
"1","60","61","0.97822","0.01621","0.00557","0.35110","0.60625","0.04265","ATMadl"
"1","61","62","0.97636","0.01752","0.00612","0.33731","0.61620","0.04649","ATMadl"
"1","62","63","0.97435","0.01893","0.00672","0.32378","0.62559","0.05063","ATMadl"
"1","63","64","0.97218","0.02044","0.00737","0.31052","0.63439","0.05510","ATMadl"
"1","64","65","0.96984","0.02207","0.00809","0.29754","0.64256","0.05991","ATMadl"
"1","65","66","0.96730","0.02382","0.00888","0.28484","0.65007","0.06509","ATMadl"
"1","66","67","0.96455","0.02569","0.00975","0.27245","0.65690","0.07065","ATMadl"
"1","67","68","0.96159","0.02770","0.01071","0.26036","0.66301","0.07663","ATMadl"
"1","68","69","0.95839","0.02986","0.01175","0.24857","0.66839","0.08304","ATMadl"
"1","69","70","0.95494","0.03216","0.01290","0.23709","0.67299","0.08992","ATMadl"
"1","70","71","0.95121","0.03463","0.01416","0.22592","0.67681","0.09727","ATMadl"
"1","71","72","0.94719","0.03727","0.01555","0.21507","0.67979","0.10514","ATMadl"
"1","72","73","0.94285","0.04008","0.01707","0.20453","0.68194","0.11353","ATMadl"
"1","73","74","0.93818","0.04308","0.01873","0.19431","0.68321","0.12248","ATMadl"
"1","74","75","0.93316","0.04628","0.02056","0.18440","0.68358","0.13202","ATMadl"
"1","75","76","0.92775","0.04969","0.02256","0.17480","0.68304","0.14216","ATMadl"
"1","76","77","0.92193","0.05331","0.02476","0.16552","0.68156","0.15292","ATMadl"
"1","77","78","0.91568","0.05715","0.02717","0.15654","0.67912","0.16433","ATMadl"
"1","78","79","0.90897","0.06122","0.02981","0.14788","0.67571","0.17641","ATMadl"
"1","79","80","0.90178","0.06553","0.03269","0.13952","0.67131","0.18917","ATMadl"
"1","80","81","0.89406","0.07008","0.03585","0.13145","0.66592","0.20263","ATMadl"
"1","81","82","0.88581","0.07489","0.03931","0.12369","0.65951","0.21680","ATMadl"
"1","82","83","0.87698","0.07994","0.04308","0.11623","0.65209","0.23168","ATMadl"
"1","83","84","0.86754","0.08525","0.04721","0.10905","0.64367","0.24728","ATMadl"
"1","84","85","0.85747","0.09082","0.05171","0.10216","0.63423","0.26361","ATMadl"
"1","85","86","0.84674","0.09665","0.05661","0.09556","0.62380","0.28064","ATMadl"
"1","86","87","0.83533","0.10272","0.06195","0.08924","0.61238","0.29838","ATMadl"
"1","87","88","0.82319","0.10904","0.06776","0.08319","0.60001","0.31680","ATMadl"
"1","88","89","0.81033","0.11560","0.07408","0.07742","0.58670","0.33589","ATMadl"
"1","89","90","0.79670","0.12237","0.08093","0.07191","0.57249","0.35560","ATMadl"
"1","90","91","0.78229","0.12936","0.08835","0.06667","0.55743","0.37591","ATMadl"
"1","50","51","0.97537","0.02418","0.00045","0.27169","0.70643","0.02187","ATMgali"
"1","51","52","0.97428","0.02521","0.00052","0.26715","0.70917","0.02368","ATMgali"
"1","52","53","0.97313","0.02628","0.00059","0.26264","0.71174","0.02562","ATMgali"
"1","53","54","0.97193","0.02739","0.00068","0.25815","0.71413","0.02772","ATMgali"
"1","54","55","0.97067","0.02855","0.00078","0.25368","0.71633","0.02999","ATMgali"
"1","55","56","0.96936","0.02975","0.00089","0.24923","0.71833","0.03244","ATMgali"
"1","56","57","0.96798","0.03100","0.00102","0.24480","0.72012","0.03508","ATMgali"
"1","57","58","0.96653","0.03230","0.00117","0.24039","0.72168","0.03792","ATMgali"
"1","58","59","0.96501","0.03365","0.00134","0.23600","0.72301","0.04099","ATMgali"
"1","59","60","0.96342","0.03505","0.00153","0.23162","0.72409","0.04429","ATMgali"
"1","60","61","0.96175","0.03650","0.00175","0.22726","0.72490","0.04784","ATMgali"
"1","61","62","0.95999","0.03801","0.00201","0.22291","0.72542","0.05167","ATMgali"
"1","62","63","0.95813","0.03957","0.00230","0.21857","0.72565","0.05578","ATMgali"
"1","63","64","0.95618","0.04119","0.00263","0.21424","0.72555","0.06020","ATMgali"
"1","64","65","0.95412","0.04286","0.00302","0.20992","0.72512","0.06496","ATMgali"
"1","65","66","0.95195","0.04460","0.00345","0.20561","0.72434","0.07006","ATMgali"
"1","66","67","0.94965","0.04639","0.00396","0.20129","0.72317","0.07553","ATMgali"
"1","67","68","0.94722","0.04824","0.00453","0.19699","0.72161","0.08140","ATMgali"
"1","68","69","0.94465","0.05016","0.00519","0.19268","0.71963","0.08769","ATMgali"
"1","69","70","0.94192","0.05214","0.00594","0.18837","0.71721","0.09442","ATMgali"
