"Year.x","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","OpenInterval","female","Year.y","pop_alive","deaths","Age1","limit","gali1","gali2","sr","chr","Lxhadlnm","Lxhgalinm","Lxhsrnm","Lxhchrnm","adlm","galim","srm","chrm","Lxhadlm","Lxhgalim","Lxhsrm","Lxhchrm","CALadl","CALgali","CALsr","CALchr","exhadlnm","exhgalinm","exhsrnm","exhchrnm","CAL","CALuhadl","CALuhgali","CALuhsr","CALuhchr","CALuhadl2","CALuhgali2","CALuhsr2","CALuhchr2","country"
"0","0","-0.0017","-0.0017","0","2150","-157","2229","560706","5.05","0","1","0","0.000803682249451931","-0.00080368224945138","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","1162.2533473216","1749.27274203929","-2164.25479988201","-297.704253807096","0.00189010037529442","0.0005011388024247","0.0078635686946583","0.0044833370046637","2030.26149606339","2146.8951366955","1362.7262902026","1737.1908109692","-0.00945050187647201","-0.00250569401212297","-0.039317843473292","-0.0224166850233189","2.8711379985029","2.9908414869002","0.472260993867","1.8304365905925","5.7390399153491","2.19208594977409","2.10482081360499","4.867157385391","3.4523921322693","-3.5469539655751","-3.6342191017442","-0.8718825299581","-2.2866477830798","FRA"
"0","0","-0.00223","-0.00222","0","2255","-208","2360","483490","4.23","0","1","0","0.000999662697171","-0.000999662697171778","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","1285.4493292667","1869.5219141064","-2077.12365322059","-191.127312502504","0.00185234683698828","0.000464875821155","0.0078340136751512","0.0044494311173885","2163.37457797781","2279.2733963237","1487.830582772","1866.6065313171","-0.00926173418494203","-0.00232437910577499","-0.039170068375756","-0.0222471555869419","2.6424358663632","2.7122551840901","0.3535486794724","1.534886492587",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRC"
"0","0","-0.00351","-0.00348","0","2844","-318","3003","639322","5.87","0","1","0","0.001763559030595","-0.00176355903059467","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","1921.0383009119","2469.57032053929","-1528.81738277669","401.8284436182","0.0017024493175835","0.0003226582108844","0.0077081105989656","0.0043110761652233","2817.96772806259","2926.0791881492","2122.9195423801","2511.68598710951","-0.00851224658791705","-0.00161329105442198","-0.0385405529948281","-0.021555380826117","4.2547459599658","4.2422081770722","1.5009500659519","2.6797468784358","6.441007971193","1.60643308388793","1.65411975387825","4.56964615807819","3.37775853044944","-4.8345748873051","-4.7868882173148","-1.8713618131148","-3.0632494407436","HUN"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISR"
"0","0","-0.00097","-0.00097","0","1362","-92","1408","420655","3.84","0","1","0","0.000437150662217056","-0.000437150662216609","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","360.922468106597","986.357999348693","-2824.49404171199","-1031.7353857618","0.00196175603580578","0.0005692922938491","0.0079229330930754","0.0045491166095806","1206.7227014841","1331.35809346709","568.5055225377","927.638136940994","-0.00980878017902898","-0.00284646146924505","-0.0396146654653761","-0.022745583047904","2.041135608003","2.1740404130294","-0.00892357624480056","1.2165960748583","4.4739396470008","1.85000008637414","1.74374871801096","4.1377305363221","2.86572698592","-2.6239395606266","-2.7301909289898","-0.336209110678702","-1.6082126610807","ITA"
"0","0","-0.00612","-0.00607","0","6891","-516","7149","886027","7.45","0","1","0","0.00285722603314198","-0.00285722603314142","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","5950.86343134139","6316.8895674636","1739.568356609","4070.5596559601","0.00149027155385244","0.000119818059800899","0.0075373435229221","0.0041184864762051","6956.2500083761","7027.17808903339","6105.8821063723","6576.3154866978","-0.00745135776926198","-0.000599090299003957","-0.0376867176146111","-0.020592432381026","5.4620138993823","5.4117378357804","2.1282537824852","3.4930040033667","7.9428779719747","1.8998661017258","1.99032640306011","5.39964603723097","4.06152208084035","-6.043011870249","-5.9525515689147","-2.5432319347438","-3.8813558911345","LTU"
"0","0","-9e-04","-9e-04","0","1416","-84","1457","400839","3.64","0","1","0","0.000654774586410056","-0.000654774586409164","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","410.681159261905","1032.5054347523","-2777.5425492581","-983.557468276995","0.00191907494316912","0.000528783605014899","0.0078871536950804","0.0045097524786722","1259.89181249449","1383.59954496099","620.468086998997","980.180854466598","-0.00959537471584593","-0.00264391802507502","-0.039435768475402","-0.022548762393361","1.9581502938387","2.0887264170751","-0.00153090453130034","1.1572259016905","4.4492605767101","1.73493876986369","1.64300526624724","4.017029197226","2.79266633463574","-2.7143218068463","-2.8062553104628","-0.432231379484001","-1.65659424207431","LUX"
"0","0","-0.00527","-0.00524","0","7186","-438","7404","886868","7.46","0","1","0","0.00268265502376808","-0.00268265502376763","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","6200.1561682521","6553.97618976171","1946.2058801071","4299.4558714687","0.00152404866867256","0.0001521665670351","0.0075642472802431","0.0041490226535849","7206.73737439899","7275.36750132141","6348.52111133649","6823.04556449311","-0.00762024334336198","-0.000760832835175917","-0.037821236401216","-0.0207451132679249","5.524951242116","5.4657482382313","2.2086006539149","3.5481563653449","7.723502194271","1.81525097555016","1.9048640564338","5.22691834958828","3.93633016005936","-5.9082512187208","-5.8186381378372","-2.4965838446828","-3.7871720342117","LVA"
"0","0","-0.00416","-0.00414","0","4406","-373","4593","716152","6.15","0","1","0","0.001973802708922","-0.00197380270892223","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","3458.77521442081","3942.57554672941","-305.488571184294","1791.36751062841","0.00166286098499813","0.000284046147217","0.0076799690462063","0.0042767661034467","4400.7174613221","4495.8149338775","3641.80672027709","4064.3451878809","-0.00831430492499108","-0.00142023073608499","-0.0383998452310319","-0.021383830517234","4.2605863475689","4.2720454641925","1.4095415783773","2.706347889809","6.5294903010206","1.81222487986264","1.83483543799297","4.82971559183939","3.54790095824866","-4.717265421158","-4.6946548630277","-1.69977470918121","-2.9815893427719","POL"
"0","0","-0.00255","-0.00254","0","2125","-239","2244","567854","5.14","0","1","0","0.00114538727246694","-0.00114538727246716","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","1175.5261505064","1762.77682268361","-2157.53292189409","-287.385088494702","0.00182391791840342","0.0004377985341748","0.0078106449867528","0.0044234136727692","2051.26070502121","2167.6680490615","1381.1446528238","1756.9994304678","-0.00911958959201697","-0.00218899267087402","-0.0390532249337641","-0.022117068363846","3.1491499411277","3.2329004174488","0.653757559991398","1.975132183556","5.129433367155","1.8073149637849","1.74808936617147","4.3374504905147","3.05923863298055","-3.3221184033701","-3.3813440009835","-0.791982876640297","-2.0701947341745","PRT"
