country,sex,UHE_ADL,UHE_CHR,UHE_GALI,UHE_SR,ex,HE_ADL,HE_CHR,HE_GALI,HE_SR,dead,NHLE_ADL,NHLE_CHR,NHLE_GALI,NHLE_SR,method
ESP,male,5.7766714182563,26.8710221073266,2.01794986409413,11.6825628012459,31.6957248035637,25.9190533853074,4.82470269623706,29.6777749394696,20.0131620023178,28.3042751964363,34.0809466146926,55.1752973037629,30.32222506053043,39.9868379976822,Sullivan
ESP,female,6.3283390733764,30.0356868246267,4.25996559813096,17.3593915626785,36.6109142740786,30.2825752007022,6.57522744945192,32.3509486759476,19.2515227114001,23.389085725921397,29.717424799297795,53.4247725505481,27.64905132405236,40.7484772885999,Sullivan
EST,male,3.20812262805921,20.2229370472896,7.1580599839508,18.0923229186639,26.5729904577066,23.3648678296474,6.35005341041699,19.4149304737558,8.48066753904275,33.427009542293405,36.63513217035261,53.64994658958301,40.585069526244204,51.5193324609573,Sullivan
EST,female,5.19805866838533,26.957286720746,9.51651487978757,23.6105475102065,33.6149024926536,28.4168438242682,6.65761577190753,24.098387612866,10.0043549824471,26.3850975073464,31.58315617573173,53.3423842280924,35.90161238713397,49.9956450175529,Sullivan
FIN,male,2.64667181754022,26.4082921770112,4.0012465493362,13.0667798085986,30.7918934762583,28.1452216587181,4.3836012992471,26.7906469269221,17.7251136676596,29.2081065237417,31.85477834128192,55.6163987007529,33.2093530730779,42.2748863323403,Sullivan
FIN,female,3.72911341177892,30.2817815326353,4.44935743590394,14.5059285684309,35.360067055781,31.6309536440021,5.07828552314567,30.9107096198771,20.8541384873501,24.639932944218998,28.369046355997916,54.9217144768543,29.08929038012294,39.1458615126499,Sullivan
FRATNP,male,3.92512714980312,24.5127899875233,5.33332133290247,11.9083719822533,31.5468617450227,27.6217345952196,7.03407175749933,26.2135404121202,19.6384897627693,28.4531382549773,32.37826540478042,52.965928242500596,33.78645958787977,40.361510237230604,Sullivan
FRATNP,female,5.3328345954793,29.9510160508041,6.43411145969531,14.5188998013067,36.6016305962123,31.268796000733,6.65061454540828,30.167519136517,22.0827307949057,23.398369403787697,28.731203999266995,53.3493854545918,29.832480863483006,37.9172692050944,Sullivan
GRC,male,1.65840221416707,21.3195839561436,1.67378613369434,8.11196938424493,30.5937581600359,28.9353559458689,9.27417420389236,28.9199720263416,22.481788775791,29.4062418399641,31.06464405413117,50.7258257961077,31.08002797365844,37.518211224209026,Sullivan
GRC,female,3.06065080479774,26.5324299125905,2.91091948741515,12.2778044565628,34.8235030001225,31.7628521953247,8.29107308753196,31.9125835127073,22.5456985435596,25.1764969998775,28.23714780467524,51.708926912468,28.08741648729265,37.4543014564403,Sullivan
HRV,male,2.93133179460538,20.9003901534252,4.851499666746,11.3119293929039,27.049638066739,24.1183062721336,6.14924791331386,22.198138399993,15.7377086738351,32.950361933261,35.88169372786638,53.8507520866862,37.801861600007,44.2622913261649,Sullivan
HRV,female,4.87230528952302,26.5952903474682,6.4250056761965,15.7014834373862,32.0889854834741,27.2166801939511,5.49369513600592,25.6639798072776,16.3875020460879,27.911014516525903,32.78331980604892,54.5063048639941,34.3360201927224,43.612497953912104,Sullivan
HUN,male,1.93780069575135,15.9701157946206,3.62585554142106,10.9613700181312,24.830038601006,22.8922379052546,8.85992280638535,21.2041830595849,13.8686685828748,35.169961398994005,37.107762094745354,51.1400771936146,38.795816940415065,46.1313314171252,Sullivan
HUN,female,3.13671756626595,24.6299585090679,6.46030821939785,18.3363466670774,30.700029933012,27.563312366746,6.07007142394411,24.2397217136141,12.3636832659346,29.299970066988,32.436687633253946,53.9299285760559,35.76027828638585,47.6363167340654,Sullivan
ITA,male,2.7983500787663,22.115063141572,4.39751101567061,12.2881237821309,32.0227446522683,29.224394573502,9.90768151069624,27.6252336365977,19.7346208701374,27.9772553477317,30.775605426498,50.0923184893037,32.37476636340231,40.265379129862595,Sullivan
ITA,female,5.47913955924823,26.3640654794003,6.43249091296141,17.551357680234,35.8649064525333,30.3857668932851,9.50084097313304,29.4324155395719,18.3135487722993,24.135093547466703,29.614233106714934,50.499159026867005,30.56758446042811,41.6864512277007,Sullivan
