country,ex,HE_ADL,HE_CHR,HE_GALI,HE_SR,UHE_ADL,UHE_CHR,UHE_GALI,UHE_SR,sex,dead,NHLE_ADL,NHLE_CHR,NHLE_GALI,NHLE_SR,method
SVK,31.8759124143535,28.6222596786029,10.3838074805117,27.3828018796299,20.7013539053293,3.25365273575058,21.4921049338418,4.49311053472361,11.1745585090242,female,28.1240875856465,31.37774032139708,49.6161925194883,32.61719812037011,39.2986460946707,CAL
SVN,34.5616590718467,30.805304567696,7.58036471296114,27.0110818358942,20.2932438106912,3.75635450415072,26.9812943588856,7.55057723595253,14.2684152611555,female,25.438340928153302,29.194695432304023,52.4196352870389,32.98891816410583,39.706756189308805,CAL
SWE,35.0797646214371,31.7142099161201,9.69435033302665,28.953638284731,24.0762905462077,3.365554705317,25.3854142884105,6.1261263367061,11.0034740752294,female,24.9202353785629,28.2857900838799,50.3056496669734,31.046361715269,35.9237094537923,CAL
PRT,35.4914457157682,27.1063820557497,5.53139091709664,28.3863015433431,13.7141018619135,8.38506366001846,29.9600547986715,7.10514417242509,21.7773438538546,female,24.5085542842318,32.89361794425026,54.4686090829033,31.61369845665689,46.285898138086395,CAL
AUT,30.7831859312672,27.8141156384462,8.07495977096261,26.407027361423,19.9551200581715,2.96907029282104,22.7082261603046,4.37615856984423,10.8280658730957,male,29.2168140687328,32.18588436155384,51.9250402290374,33.59297263857703,40.0448799418285,CAL
BEL,30.7786854642018,26.8859523073733,5.93636193078059,26.1612131349386,21.1748172700784,3.89273315682849,24.8423235334212,4.61747232926315,9.60386819412336,male,29.2213145357982,33.11404769262669,54.0636380692194,33.83878686506135,38.82518272992156,CAL
BGR,24.4334900540872,21.5039995469257,7.82861416265002,21.6243959338048,16.467330428058,2.92949050716147,16.6048758914372,2.8090941202824,7.96615962602918,male,35.5665099459128,38.49600045307427,52.17138583735,38.3756040661952,43.53266957194198,CAL
CHE,32.8091453384859,30.42147815153,8.2456340331409,27.8166963502956,25.1718082464203,2.38766718695593,24.563511305345,4.99244898819027,7.63733709206556,male,27.190854661514102,29.578521848470032,51.7543659668591,32.18330364970437,34.82819175357966,CAL
CZE,27.9496855513405,24.5258540828634,3.91625242330323,23.220671337515,20.1144591518831,3.42383146847706,24.0334331280372,4.72901421382544,7.83522639945739,male,32.0503144486595,35.47414591713656,56.083747576696695,36.77932866248494,39.88554084811689,CAL
DEUTNP,30.1619808682446,26.5650526908501,4.7518124593759,24.0494557581197,17.2912228197826,3.59692817739449,25.4101684088687,6.11252511012492,12.870758048462,male,29.8380191317554,33.43494730914989,55.2481875406241,35.950544241880316,42.708777180217396,CAL
DNK,30.6133424767205,27.6333922668186,8.32948117608464,27.4556292675209,22.5323090498557,2.97995020990194,22.2838613006359,3.15771320919962,8.08103342686487,male,29.3866575232795,32.36660773318144,51.6705188239154,32.544370732479116,37.46769095014437,CAL
ESP,31.6367913227511,25.8643607975116,4.81668471967489,29.6221910322146,19.9800929068239,5.77243052523946,26.8201066030762,2.01460029053647,11.6566984159272,male,28.3632086772489,34.135639202488356,55.183315280325104,30.37780896778537,40.0199070931761,CAL
EST,26.2594049658914,23.1343654687825,6.30692748276649,19.2364161579142,8.42494152971654,3.12503949710885,19.9524774831249,7.02298880797719,17.8344634361749,male,33.7405950341086,36.86563453121745,53.6930725172335,40.763583842085794,51.5750584702835,CAL
