"age","ex1","ex2","p1","p2","sex","region","health"
70,1.5948,2.7597,0.83662,0.16348,"M","E","IADL"
71,1.5601,2.7135,0.82509,0.17501,"M","E","IADL"
72,1.5242,2.6641,0.81307,0.18704,"M","E","IADL"
73,1.4873,2.6116,0.80057,0.19955,"M","E","IADL"
74,1.4495,2.5564,0.7876,0.21252,"M","E","IADL"
75,1.411,2.4988,0.77419,0.22594,"M","E","IADL"
76,1.3718,2.4393,0.76034,0.2398,"M","E","IADL"
77,1.3322,2.3781,0.74608,0.25407,"M","E","IADL"
78,1.2921,2.3156,0.73142,0.26873,"M","E","IADL"
79,1.2519,2.2522,0.7164,0.28377,"M","E","IADL"
80,1.2116,2.1882,0.70102,0.29915,"M","E","IADL"
81,1.1713,2.1239,0.68533,0.31485,"M","E","IADL"
82,1.1312,2.0595,0.66932,0.33087,"M","E","IADL"
83,1.0913,1.9954,0.65304,0.34716,"M","E","IADL"
84,1.0518,1.9318,0.6365,0.36372,"M","E","IADL"
85,1.0128,1.8688,0.61972,0.3805,"M","E","IADL"
86,0.9742,1.8067,0.60273,0.3975,"M","E","IADL"
87,0.9363,1.7457,0.58554,0.41471,"M","E","IADL"
88,0.899,1.6859,0.56817,0.43209,"M","E","IADL"
89,0.8624,1.6274,0.55063,0.44963,"M","E","IADL"
90,0.8266,1.5703,0.53295,0.46733,"M","E","IADL"
91,0.7916,1.5147,0.51514,0.48515,"M","E","IADL"
92,0.7574,1.4608,0.4972,0.50309,"M","E","IADL"
93,0.724,1.4085,0.47915,0.52112,"M","E","IADL"
94,0.6916,1.3579,0.46101,0.53925,"M","E","IADL"
95,0.66,1.309,0.44279,0.55748,"M","E","IADL"
96,0.6293,1.2619,0.42449,0.57577,"M","E","IADL"
97,0.5995,1.2165,0.40612,0.59412,"M","E","IADL"
98,0.5706,1.1728,0.38771,0.61252,"M","E","IADL"
99,0.5426,1.131,0.36926,0.63096,"M","E","IADL"
100,0.5154,1.0909,0.35079,0.64942,"M","E","IADL"
101,0.4892,1.0525,0.33232,0.66788,"M","E","IADL"
102,0.4637,1.0158,0.31387,0.68631,"M","E","IADL"
103,0.4391,0.9807,0.29547,0.70471,"M","E","IADL"
104,0.4153,0.9474,0.27714,0.72302,"M","E","IADL"
105,0.3923,0.9156,0.25894,0.74121,"M","E","IADL"
106,0.3701,0.8854,0.2409,0.75925,"M","E","IADL"
107,0.3486,0.8568,0.22307,0.77707,"M","E","IADL"
108,0.3279,0.8296,0.20551,0.79461,"M","E","IADL"
109,0.3079,0.804,0.18831,0.8118,"M","E","IADL"
110,0.2886,0.7797,0.17152,0.82858,"M","E","IADL"
50,3.892,6.4201,0.96079,0.03923,"F","N","IADL"
51,3.8517,6.3749,0.95798,0.04204,"F","N","IADL"
52,3.8091,6.3248,0.95499,0.04504,"F","N","IADL"
53,3.7642,6.2697,0.95181,0.04822,"F","N","IADL"
54,3.7169,6.2095,0.94842,0.05161,"F","N","IADL"
55,3.6673,6.1442,0.94483,0.0552,"F","N","IADL"
56,3.6152,6.0737,0.94103,0.05901,"F","N","IADL"
57,3.5606,5.9981,0.93699,0.06304,"F","N","IADL"
58,3.5035,5.9175,0.93273,0.06732,"F","N","IADL"
59,3.4439,5.8319,0.92821,0.07183,"F","N","IADL"
60,3.3818,5.7414,0.92345,0.0766,"F","N","IADL"
